lastUpdated,text,title,url
" 29 November 2021, at 15:06",,Benevolent dictator for life,https://en.wikipedia.org/wiki/Benevolent_dictator_for_life
" 30 November 2021, at 16:43",,Matt Mullenweg,https://en.wikipedia.org/wiki/Matt_Mullenweg
" 20 January 2021, at 12:41",,Theo de Raadt,https://en.wikipedia.org/wiki/Theo_de_Raadt
" 25 November 2021, at 11:23",,Vim (text editor),https://en.wikipedia.org/wiki/Vim_(text_editor)
" 30 November 2021, at 13:42",,Laravel,https://en.wikipedia.org/wiki/Laravel
" 21 November 2021, at 05:59",,Unix,https://en.wikipedia.org/wiki/Unix
" 2 December 2021, at 14:43",,WordPress,https://en.wikipedia.org/wiki/WordPress
" 9 February 2021, at 22:28",,Martin Odersky,https://en.wikipedia.org/wiki/Martin_Odersky
" 24 November 2021, at 18:36",,OpenBSD,https://en.wikipedia.org/wiki/OpenBSD
" 21 November 2021, at 03:19",,Scala (programming language),https://en.wikipedia.org/wiki/Scala_(programming_language)
 本页面最后修订于2021年8月3日 (星期二) 06:56。,,终身仁慈独裁者,https://zh.wikipedia.org/wiki/%E7%BB%88%E8%BA%AB%E4%BB%81%E6%85%88%E7%8B%AC%E8%A3%81%E8%80%85
" 2 December 2021, at 15:02",,pandas (software),https://en.wikipedia.org/wiki/Pandas_(software)
" 7 November 2021, at 03:42",,Bram Moolenaar,https://en.wikipedia.org/wiki/Bram_Moolenaar
" 20 October 2021, at 06:34",,Yukihiro Matsumoto,https://en.wikipedia.org/wiki/Yukihiro_Matsumoto
" 30 September 2021, at 22:30",,Wes McKinney,https://en.wikipedia.org/wiki/Wes_McKinney
" 22 November 2021, at 17:07",,Ruby (programming language),https://en.wikipedia.org/wiki/Ruby_(programming_language)
" 2 December 2021, at 04:00",,OCaml,https://en.wikipedia.org/wiki/OCaml
 Эта страница в последний раз была отредактирована 26 мая 2021 в 16:46.,,Великодушный пожизненный диктатор,https://ru.wikipedia.org/wiki/%D0%92%D0%B5%D0%BB%D0%B8%D0%BA%D0%BE%D0%B4%D1%83%D1%88%D0%BD%D1%8B%D0%B9_%D0%BF%D0%BE%D0%B6%D0%B8%D0%B7%D0%BD%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9_%D0%B4%D0%B8%D0%BA%D1%82%D0%B0%D1%82%D0%BE%D1%80
" Tę stronę ostatnio edytowano 5 maj 2021, 13:18.",,Benevolent Dictator for Life,https://pl.wikipedia.org/wiki/Benevolent_Dictator_for_Life
 Esta página foi editada pela última vez às 13h22min de 24 de julho de 2020.,,,https://pt.wikipedia.org/wiki/Benevolent_Dictator_for_Life
 最終更新 2021年1月19日 (火) 12:09 （日時は,,優しい終身の独裁者,https://ja.wikipedia.org/wiki/%E5%84%AA%E3%81%97%E3%81%84%E7%B5%82%E8%BA%AB%E3%81%AE%E7%8B%AC%E8%A3%81%E8%80%85
 Denne siden ble sist redigert 15. feb. 2017 kl. 04:11.,,Benevolent Dictator For Life,https://no.wikipedia.org/wiki/Benevolent_Dictator_For_Life
 Deze pagina is voor het laatst bewerkt op 26 jan 2021 om 14:19.,,Benevolent Dictator for Life,https://nl.wikipedia.org/wiki/Benevolent_Dictator_for_Life
 Questa pagina è stata modificata per l'ultima volta il 27 giu 2020 alle 04:00.,,Benevolo Dittatore a Vita,https://it.wikipedia.org/wiki/Benevolo_Dittatore_a_Vita
" ഈ താൾ അവസാനം തിരുത്തപ്പെട്ടത്: 19:33, 21 ഡിസംബർ 2019.",,ബെനവലൻറ് ഡിക്റ്റേറ്റർ ഫോർ ലൈഫ് (ബി.ഡി.എഫ്.എൽ),https://ml.wikipedia.org/wiki/%E0%B4%AC%E0%B5%86%E0%B4%A8%E0%B4%B5%E0%B4%B2%E0%B5%BB%E0%B4%B1%E0%B5%8D_%E0%B4%A1%E0%B4%BF%E0%B4%95%E0%B5%8D%E0%B4%B1%E0%B5%8D%E0%B4%B1%E0%B5%87%E0%B4%B1%E0%B5%8D%E0%B4%B1%E0%B5%BC_%E0%B4%AB%E0%B5%8B%E0%B5%BC_%E0%B4%B2%E0%B5%88%E0%B4%AB%E0%B5%8D_(%E0%B4%AC%E0%B4%BF.%E0%B4%A1%E0%B4%BF.%E0%B4%8E%E0%B4%AB%E0%B5%8D.%E0%B4%8E%E0%B5%BD)
" Halaman ini terakhir diubah pada 3 Februari 2021, pukul 20.33.",,,https://id.wikipedia.org/wiki/Benevolent_dictator_for_life
 이 문서는 2018년 7월 14일 (토) 07:38에 마지막으로 편집되었습니다.,,자비로운 종신독재자,https://ko.wikipedia.org/wiki/%EC%9E%90%EB%B9%84%EB%A1%9C%EC%9A%B4_%EC%A2%85%EC%8B%A0%EB%8F%85%EC%9E%AC%EC%9E%90
" 3 February 2021, at 11:11",,Main Page,https://en.wikipedia.org/wiki/Main_Page
 La dernière modification de cette page a été faite le 6 janvier 2021 à 16:33.,,,https://fr.wikipedia.org/wiki/Benevolent_Dictator_for_Life
" 21 November 2021, at 03:20",,International Standard Book Number,https://en.wikipedia.org/wiki/ISBN_(identifier)
" 28 November 2020, at 07:52",,Linux.com,https://en.wikipedia.org/wiki/Linux.com
" Ĉi tiu paĝo estis lastafoje redaktita je 05:58, 28 aŭg. 2021.",,Dumviva bonvola diktatoro,https://eo.wikipedia.org/wiki/Dumviva_bonvola_diktatoro
" 30 November 2021, at 01:07",,,https://en.wikipedia.org/wiki/CNET
 Esta página se editó por última vez el 9 jul 2020 a las 04:55.,,Benevolent Dictator for Life,https://es.wikipedia.org/wiki/Benevolent_Dictator_for_Life
" 1 November 2021, at 19:24",,Canonical (company),https://en.wikipedia.org/wiki/Canonical_Ltd
" 29 May 2021, at 17:49",,,https://en.wikipedia.org/wiki/EWeek
" 6 November 2021, at 13:29",,Blender Foundation,https://en.wikipedia.org/wiki/Blender_Foundation
 این صفحه آخرین‌بار در ‏۲۵ ژانویهٔ ۲۰۲۱ ساعت ‏۰۶:۳۵ ویرایش شده‌است.,,دیکتاتور خیرخواه جاویدان,https://fa.wikipedia.org/wiki/%D8%AF%DB%8C%DA%A9%D8%AA%D8%A7%D8%AA%D9%88%D8%B1_%D8%AE%DB%8C%D8%B1%D8%AE%D9%88%D8%A7%D9%87_%D8%AC%D8%A7%D9%88%DB%8C%D8%AF%D8%A7%D9%86
 Diese Seite wurde zuletzt am 2. Juli 2021 um 10:01 Uhr bearbeitet.,,Benevolent Dictator for Life,https://de.wikipedia.org/wiki/Benevolent_Dictator_for_Life
" 6 September 2021, at 06:52",,Exercism,https://en.wikipedia.org/wiki/Exercism
" 1 December 2021, at 06:39",,Linux Foundation,https://en.wikipedia.org/wiki/Linux_Foundation
